seed = 9174 sort algorithm = Quick Sort
       148        617        207        316        225          3        403        439
       476        444        699        714        685        438        193        680
       347        155        607        981        426        533        905        710
       626        398        438        948        433        591        967        582
       208        526        250        785        881        654        576        357
       450        275         71        487        713        616 
Sorting:

Sorted:
-1625813011 -1357550910 -1323837443 -1003708927 -641105700          7         38         43
        48         60         71        110        116        127        155        187
       193        208        243        250        255        275        278        290
       306        312        347        355        357        369        393        393
       398        426        433        438        438        444        445        450
       450        457        466        476        483        487        489        502
       526        526        527        529        531        533        547        550
       556        570        576        582        583        591        606        607
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 -1625813011 -1541071910
-1357550910 -1346725710 -1345938988 -1323837443 -1262747217 -1003708927 -999883435 -723158913
-641105700 -490213275          3          9         13         16         18         39
        59         60         66         70         80         80         81         92
       100        105        113        133        137        158        160        160
       162        164        174        183        220        247        250        254
       258        267        277        279        287        292        304        324
       338        349        377        383        407        419        425        427
       460        475        480        487        487        512        519        521
       526        539        541        556        569        578        578        616
       616        626        644        653        654        656        661        672
       673        679        680        682        685        685        687        689
       698        699        705        710        713        714        714        715
       721        729        746        770        774        776        790        808
       810        825        825        851        855        883        903        913
       917        931        982  206558119  222698990  375910509  542060153  781732981
1122899651 1124473524 1630711583 1634695373 1683221428 1745970324 
